rabbit,rabbit@mail.com,Tokyo,映像クリエイターです,rabbit1111
anz,anz@mail.com,Tokyo,都内でDJとして活動してます。house/techno,anz1111
allen,allen@mail.com,Tokyo,HipHop / Rapper,allen1111
yeon,yeon@mail.com,Shizuoka,DTM / DJ ,yeon1111
shiki,shiki@mail.com,Tokyo,DTM / DJ ,shiki1111
ryu,ryu@mail.com,Osaka,映像クリエイターです,ryu1111
saimon,saimon@mail.com,Kyoto,VJしてます,saimon1111
yohri,yohri@mail.com,Okinawa,DTM ,yohri1111
nayuta,nayuta@mail.com,Tokyo,DTM,nayuta1111
kanata,kanata@mail.com,Osaka,DTM / DJ ,kanata1111
reo,reo@mail.com,Osaka,映像クリエイターです,reo1111
zen,zen@mail.com,Osaka,映像クリエイター,zen1111
iori,iori@mail.com,Osaka,DTM / DJ ,iori1111
hokusai,hokusai@mail.com,Chiba,DTM / DJ ,hokusai1111
satsuki,satsuki@mail.com,Tokyo,映像クリエイター,satsuki1111
